task_name,sub_task,matched_standard,standard_rate,standard_unit
งานตกแต่งภายในอาคารผู้โดยสาร,การทาสีผนังภายใน,การทาสี,40.00,ตารางเมตร
งานตกแต่งภายในอาคารผู้โดยสาร,การติดตั้งพื้นลามิเนต,การปูพื้นผิว,75.00,ตารางเมตร
งานตกแต่งภายในอาคารผู้โดยสาร,การติดตั้งฝ้าเพดาน,การติดตั้งผนังและฝ้า,15.00,ตารางเมตร
งานติดตั้งระบบไฟฟ้า,การเดินสายไฟหลัก,การเดินสายไฟ,75.00,เมตร
งานติดตั้งระบบไฟฟ้า,การติดตั้งตู้ควบคุมไฟฟ้า,การติดตั้งอุปกรณ์ไฟฟ้า,10.00,ชิ้น
งานติดตั้งระบบไฟฟ้า,การทดสอบระบบไฟฟ้า,การทดสอบระบบ,1.00,ระบบ
งานติดตั้งระบบไฟฟ้า,การติดตั้งสวิตช์ไฟ,การติดตั้งอุปกรณ์ไฟฟ้า,10.00,ชิ้น
งานก่อสร้างรันเวย์,การ ถนนแอสฟัลต์รันเวย์,การปูพื้นผิว,75.00,ตารางเมตร
งานก่อสร้างรันเวย์,การทำเครื่องหมายรันเวย์,ไม่สามารถจับคู่ได้,,
งานก่อสร้างรันเวย์,การติดตั้งระบบระบายน้ำรันเวย์,การติดตั้งระบบระบายน้ำ,35.00,เมตร
งานก่อสร้างรันเวย์,การปรับระดับพื้นรันเวย์,การปรับระดับพื้น,75.00,ตารางเมตร
งานทาสีอาคารผู้โดยสาร,การทาสีผนังภายนอกอาคารผู้โดยสาร,การทาสี,40.00,ตารางเมตร
งานทาสีอาคารผู้โดยสาร,การเคลือบผนังป้องกันรอยขีดข่วน,การเคลือบผนัง,25.00,ตารางเมตร
งานทาสีอาคารผู้โดยสาร,การทำความสะอาดพื้นผิวก่อนทาสี,การทำความสะอาดพื้นผิว,150.00,ตารางเมตร
งานทาสีอาคารผู้โดยสาร,การติดตั้งสีป้องกันการลื่น,การปูพื้นผิว,75.00,ตารางเมตร
งานทำความสะอาดพื้นที่ก่อสร้าง,การเก็บกวาดพื้นที่ก่อสร้าง,การเคลื่อนย้ายเศษวัสดุ,1.50,ตัน
งานทำความสะอาดพื้นที่ก่อสร้าง,การกำจัดฝุ่นจากงานก่อสร้าง,การทำความสะอาดพื้นผิว,150.00,ตารางเมตร
งานทำความสะอาดพื้นที่ก่อสร้าง,การล้างพื้นผิวคอนกรีต,การทำความสะอาดพื้นผิว,150.00,ตารางเมตร
งานติดตั้งระบบปรับอากาศ,การติดตั้งระบบระบายความร้อน,การติดตั้งระบบปรับอากาศ,15.00,เมตร
งานติดตั้งระบบปรับอากาศ,การทดสอบระบบปรับอากาศ,การทดสอบระบบ,1.00,ระบบ
งานติดตั้งระบบปรับอากาศ,การติดตั้งท่อลมเย็น,การติดตั้งระบบปรับอากาศ,15.00,เมตร
งานก่อสร้างโครงสร้างอาคารผู้โดยสาร,การก่อสร้างฐานคอนกรีตอาคาร,การก่อสร้างคอนกรีต,7.00,ลูกบาศก์เมตร
งานก่อสร้างโครงสร้างอาคารผู้โดยสาร,การติดตั้งโครงเหล็กอาคาร,การติดตั้งโครงเหล็ก,75.00,ตารางเมตร
งานก่อสร้างโครงสร้างอาคารผู้โดยสาร,การเทคอนกรีตผนัง,การก่อสร้างคอนกรีต,7.00,ลูกบาศก์เมตร
งานก่อสร้างโครงสร้างอาคารผู้โดยสาร,การตรวจสอบความแข็งแรงโครงสร้าง,การตรวจสอบโครงสร้าง,75.00,ตารางเมตร
งานติดตั้งระบบรักษาความปลอดภัย,การติดตั้งกล้องวงจรปิด,การติดตั้งกล้องวงจรปิด,7.00,ตัว
งานติดตั้งระบบรักษาความปลอดภัย,การตั้งค่าระบบรักษาความปลอดภัย,การตั้งค่าระบบควบคุม,1.00,ระบบ
งานติดตั้งระบบรักษาความปลอดภัย,การทดสอบระบบแจ้งเตือน,การทดสอบระบบ,1.00,ระบบ
งานติดตั้งระบบไฟส่องสว่างรันเวย์,การติดตั้งไฟส่องสว่างรันเวย์,การติดตั้งไฟส่องสว่าง,7.00,ดวง
งานติดตั้งระบบไฟส่องสว่างรันเวย์,การทดสอบระบบไฟรันเวย์,การทดสอบระบบ,1.00,ระบบ
งานติดตั้งระบบไฟส่องสว่างรันเวย์,การเดินสายไฟสำหรับไฟรันเวย์,การเดินสายไฟ,75.00,เมตร
งานสำรวจพื้นที่สนามบิน,การสำรวจพื้นที่รอบสนามบิน,การสำรวจพื้นที่,3.00,ไร่
งานสำรวจพื้นที่สนามบิน,การทำแผนที่ภูมิประเทศ,การทำแผนที่ดิน,3.00,ไร่
งานสำรวจพื้นที่สนามบิน,การเก็บตัวอย่างดิน,การเก็บตัวอย่างดิน,15.00,จุด
งานจัดการจราจรทางอากาศ,การตั้งค่าระบบควบคุมจราจร,การตั้งค่าระบบควบคุม,1.00,ระบบ
